world,level,total_attempts,success_rate,total_plays,difficulty_score,difficulty_category
1,1,5,1.0,5,0.0,Très Facile
1,2,6,0.8333333333333334,6,0.16666666666666663,Très Facile
1,3,7,0.5714285714285714,7,0.4285714285714286,Moyen
1,4,4,1.0,4,0.0,Très Facile
2,1,4,1.0,4,0.0,Très Facile
2,2,4,1.0,4,0.0,Très Facile
2,3,5,0.6,5,0.4,Facile
2,4,4,0.75,4,0.25,Facile
3,1,4,0.75,4,0.25,Facile
3,2,3,1.0,3,0.0,Très Facile
3,3,4,0.75,4,0.25,Facile
3,4,4,0.75,4,0.25,Facile
4,1,4,1.0,4,0.0,Très Facile
4,2,4,1.0,4,0.0,Très Facile
4,3,5,0.6,5,0.4,Facile
4,4,3,1.0,3,0.0,Très Facile
5,1,5,1.0,5,0.0,Très Facile
5,2,7,0.5714285714285714,7,0.4285714285714286,Moyen
5,3,7,0.42857142857142855,7,0.5714285714285714,Moyen
5,4,3,0.6666666666666666,3,0.33333333333333337,Facile
6,1,5,0.8,5,0.19999999999999996,Très Facile
6,2,7,0.5714285714285714,7,0.4285714285714286,Moyen
6,3,7,0.2857142857142857,7,0.7142857142857143,Difficile
6,4,4,0.5,4,0.5,Moyen
7,1,6,0.6666666666666666,6,0.33333333333333337,Facile
7,2,5,0.8,5,0.19999999999999996,Très Facile
7,3,7,0.42857142857142855,7,0.5714285714285714,Moyen
7,4,4,0.5,4,0.5,Moyen
8,1,37,0.5405405405405406,37,0.45945945945945943,Moyen
8,2,45,0.35555555555555557,45,0.6444444444444444,Difficile
8,3,46,0.13043478260869565,46,0.8695652173913043,Très Difficile
8,4,15,0.13333333333333333,15,0.8666666666666667,Très Difficile
