world,level,jump_freq,run_freq,right_freq,left_freq,total_frames
1,1,0.16788456202016463,0.6900379243363242,0.5594302099713255,0.052816575709925075,10811
1,2,0.17601332593003888,0.7244740576223085,0.5858473687457585,0.08526127460053057,16209
1,3,0.19445044266897,0.6649751673504642,0.5796804145972793,0.04491470524724681,9262
1,4,0.16283367556468173,0.8096509240246407,0.6537987679671458,0.07125256673511293,4870
2,1,0.25309824964865213,0.7708572888718538,0.5079851795068353,0.11473105915420978,15654
2,2,0.1825282759482597,0.612135224645379,0.6456914328563395,0.040929825657689184,16003
2,3,0.2192658290219266,0.770140428677014,0.5206536913853987,0.1096329145109633,12177
2,4,0.13813362481213282,0.7671813089219839,0.5422871977046044,0.05478890558819511,7319
3,1,0.21140576376674333,0.7187795968069274,0.4465566229197673,0.09119199025842241,14782
3,2,0.16829865361077112,0.7769889840881273,0.6138310893512852,0.05532435740514076,8170
3,3,0.20980615735461802,0.7206385404789054,0.5084093500570125,0.1121721778791334,7016
3,4,0.17025904686573068,0.8969744908048249,0.6646232944433459,0.09531342693296421,5057
4,1,0.1820458339657004,0.8306268022461678,0.5800576718773713,0.07026862953407194,13178
4,2,0.18050093148416477,0.7585041054302076,0.5194921686331332,0.10805216311322707,14493
4,3,0.2150694952450622,0.7605810429511966,0.44487407252586475,0.1377364405894033,9569
4,4,0.11620861285436053,0.9777104522830556,0.8063189785760658,0.09976195628651807,4621
5,1,0.1955896452540748,0.8356903163950143,0.5389501438159157,0.08113614573346117,16688
5,2,0.23681228106325983,0.8320626416649495,0.5334844426128168,0.11353801772099732,19412
5,3,0.15910364145658262,0.6918767507002801,0.37142857142857144,0.14677871148459384,8925
5,4,0.1347363328495404,0.9358974358974359,0.5706337687469762,0.12796323173681665,4134
6,1,0.20380641018156342,0.8060015178936307,0.48280693560628174,0.09971393543114017,17129
6,2,0.2331579176271039,0.8267733658069847,0.5230287478797895,0.09820380115687383,22993
6,3,0.20641216327879688,0.7956536109733928,0.37473144934721536,0.18162287225252025,12102
6,4,0.13800683927699073,0.8124084025403029,0.47423058133854423,0.14753297508549096,8188
7,1,0.2105004705978639,0.8751074190776282,0.44890944060236526,0.11977738674960102,24437
7,2,0.16447527141133897,0.7449336550060314,0.6391435464414957,0.043848009650180944,16580
7,3,0.18820177643707056,0.7888386123680241,0.5394670688788336,0.11882017764370706,11934
7,4,0.11716621253405994,0.9617055747845938,0.6250092053906767,0.10457323808822447,13579
8,1,0.20986813293756995,0.8810844565552366,0.6904692391286718,0.044223314356154605,123306
8,2,0.20610325367518986,0.8700689751271511,0.4604960635407232,0.11587821361387864,143530
8,3,0.21534993262049595,0.8174834070099872,0.5971965088600899,0.07920555156736062,79401
8,4,0.1632496436794211,0.8731498739173337,0.580243394364653,0.0780177612103936,45605
